,batch_size,image_size,kernel_size,in_channels,out_channels,stride,padding,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
0,123,127,7,80,29,1,2,34.73229948679606,0.0011150058027633333,0.032102908043966295,75.41814230784895,30.906333333333333,288.75,0.00012128318066843332,4.948949810113333e-05,0.0004466170237572,0.0006173897025267889,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,218534484375.0,6.0
1,73,158,4,344,412,2,3,57.151233752568565,0.0018613191960536665,0.0325664276669806,74.87522067218775,30.58566666666667,288.75,0.0006062556779208,0.00024330290101128333,0.0022423337733165835,0.0030918923522487165,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1086294141180.0,2.0
2,107,211,1,54,167,3,3,30.364336570103962,0.0009984257329510333,0.0328857923750444,74.95662938721456,30.712666666666667,288.75,1.141422573851488e-05,4.631248788136904e-06,4.318718642203214e-05,5.923266094868631e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,5237314555.0,56.0
3,241,66,8,43,270,1,2,36.262081940968834,0.0012343882587804,0.03404072223313593,74.39613814223563,30.846666666666664,288.75,0.0003803782968023833,0.00015559214567785,0.0015145083927031835,0.0020504788351834334,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,710997570990.0,2.0
4,224,62,7,116,216,1,1,47.67913667360941,0.0015322021624159,0.032135697606077034,75.39004580924421,30.971999999999998,288.75,0.0005001078528174167,0.00020411151743596667,0.00184096694605215,0.0025451863163055834,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,925312066560.0,2.0
5,215,200,1,60,49,4,2,30.193785667419434,0.0009712198461090333,0.03216632267565367,75.6677632172607,30.727999999999998,288.75,5.076925325001254e-06,2.048136979155146e-06,1.862070255184741e-05,2.5745764856004353e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1671493635.0,125.33333333333333
6,232,151,1,4,417,2,0,32.17566696802775,0.001030846048911,0.03203804855591063,75.33798932000695,30.482333333333333,288.75,5.595691438740555e-05,2.276576182447222e-05,0.00020667213245674165,0.00028539480866862497,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,2793966720.0,12.0
7,167,47,10,145,29,2,2,30.30783748626709,0.0010197386703511334,0.033646926414194665,74.34769480222946,30.861666666666668,288.75,1.9855214425825e-05,8.0975244375375e-06,7.791713970299167e-05,0.00010586987856635625,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,30970699263.0,32.0
8,12,197,10,473,198,1,0,93.41812753677368,0.0029979608284645,0.0320918529021033,75.23319851725358,30.646500000000003,288.75,0.0019598439032905,0.0007899224020273,0.00721023644705605,0.00996000275237395,,,,2.0,1.0,9.491,51.2993,770.0,2.5,3972212348544.0,1.0
9,215,72,9,511,468,2,3,113.26975345611572,0.003635185114145833,0.0320931678489746,75.45521173225737,30.415000000000003,288.75,0.0023914033803433335,0.0009566002017553334,0.008729023375196534,0.012077026957295301,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,5101957224000.0,1.0
10,60,178,9,82,441,2,3,36.54034066200257,0.0011710801333426333,0.03204897440929003,74.3944862205354,30.544666666666668,288.75,0.0007679061203429001,0.0003106582146404333,0.0028120673372513,0.003890631672234733,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1361192152320.0,1.0
11,54,97,3,81,177,1,2,32.25674565633138,0.0010348084267761334,0.0320803603162425,75.52083245398524,30.730666666666668,288.75,4.8290626681409525e-05,1.9593547275669048e-05,0.00017768023676341903,0.00024556441072050473,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,68384909340.0,14.0
12,145,224,7,468,395,2,1,388.67764202753705,0.0124741899758889,0.03209391862329793,74.28696879804802,30.382666666666665,288.75,0.008203625167061534,0.0032796730512813337,0.029959193395905966,0.04144249161424896,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,15893199657500.0,1.0
13,127,9,2,466,398,2,1,30.068774064381916,0.0009708125487858666,0.03228640119597743,77.62006835476036,30.706,288.75,1.149783734300223e-06,4.55684401623581e-07,4.121291502184059e-06,5.726759638108157e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,2356707250.0,563.6666666666666
14,235,49,7,34,177,4,1,30.13416584332784,0.0009923215201648667,0.032929556958092736,75.7660856068497,30.783333333333342,288.75,9.045905527723333e-06,3.672466180897143e-06,3.437804595463762e-05,4.7096417663259044e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,9984796560.0,70.0
15,85,192,11,322,97,1,0,284.16128428777057,0.0091167530852786,0.03208302339164187,75.64382807462646,30.609333333333336,288.75,0.005970572191083534,0.0024127256671920665,0.021904918371885965,0.030288216230161633,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,10641082846940.0,1.0
16,34,180,5,423,63,3,1,32.33560927708944,0.0010396933872334,0.032153194655436264,76.68959872062571,30.683999999999997,288.75,6.865060831858333e-05,2.734878467824333e-05,0.00024941369246277,0.0003454130854596067,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,81553651200.0,10.0
17,12,77,1,267,503,1,1,30.13660780588786,0.0009704160627273333,0.0322005790050136,76.40967183588342,30.63233333333333,288.75,8.534582344944e-06,3.408944922490667e-06,3.1042787803543557e-05,4.298631507097867e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,10095741168.0,75.0
