batch_size,image_size,kernel_size,in_channels,stride,padding,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
21,208,9,400,2,2,36.837599198023476,0.0011747374152161,0.031889605976973996,73.54737834218452,30.24266666666667,288.75,0.000188587047513025,7.699631075223333e-05,0.0007101121693228584,0.0009756955275881416,2.0,1.0,770.0,2.0,3539440800.0,4.0
59,96,6,21,4,0,30.058879454930622,0.0009636549023639335,0.03205891015932443,75.11327510938946,29.76866666666667,288.75,7.887065536111313e-07,3.163704736896835e-07,2.928751936374021e-06,4.03382896367492e-06,2.0,1.0,770.0,2.0,11797758.0,793.6666666666666
215,177,8,287,2,0,39.77182070414225,0.0012699585570901666,0.031931128810275135,73.50163235668087,30.365666666666666,288.75,0.0008156423326984999,0.0003339594085267333,0.0030695296776790666,0.004219131418904401,2.0,1.0,770.0,2.0,14266196000.0,1.0
222,34,5,55,2,0,30.088905731836956,0.0009626190205278334,0.031992502675256405,74.24956375875105,30.213000000000005,288.75,2.519556403219031e-06,1.0192467912165094e-06,9.426387674011668e-06,1.296519086844748e-05,2.0,1.0,770.0,2.0,34340625.0,246.66666666666666
77,206,7,289,1,1,67.90143593152364,0.0021685930834324,0.0319373172932532,73.5902347535415,30.485333333333333,288.75,0.0013921245006431,0.0005713258424902,0.005241177841027533,0.0072046281841608995,2.0,1.0,770.0,2.0,22246279594.0,1.0
196,19,11,488,4,1,30.09146213531494,0.0009626070914110999,0.031989397688866,74.02033987333088,30.271666666666665,288.75,2.51344757007561e-06,1.0242486359353658e-06,9.462426574572493e-06,1.3000122780583875e-05,2.0,1.0,770.0,2.0,52080336.0,246.0
142,72,8,24,3,2,30.09476470947266,0.0009852264448884666,0.03273534168884187,74.09837088937014,30.314666666666668,288.75,3.1477203721010745e-06,1.2827179599031009e-06,1.2239791072716165e-05,1.667022940472102e-05,2.0,1.0,770.0,2.0,57690624.0,196.33333333333334
226,213,4,185,3,1,34.127727111180626,0.0010941345389977335,0.03206009418987657,74.36617834463436,30.432,288.75,0.00017842889112261668,7.189746482699999e-05,0.0006584232611581584,0.0009087496171078,2.0,1.0,770.0,2.0,1686113680.0,4.0
64,210,7,173,1,3,36.45188800493876,0.0011661327417556,0.031991024181318266,73.39208971759541,30.403333333333336,288.75,0.0007494174398112334,0.0003067286675529333,0.0028180490479700667,0.0038741951553343,2.0,1.0,770.0,2.0,11962742400.0,1.0
137,92,7,285,5,0,30.70484185218811,0.0009830533188026,0.032016229969704164,75.35188670298277,30.245,288.75,1.9397819617567678e-05,7.826678991474747e-06,7.174392168720303e-05,9.896842029624948e-05,2.0,1.0,770.0,2.0,309939210.0,33.0
253,190,2,302,4,0,33.19736750920614,0.0011140360198445,0.0335567775314024,74.63868060797694,30.181,288.75,9.929440172381429e-05,3.945824084624286e-05,0.00038997826385828095,0.0005287309064283523,2.0,1.0,770.0,2.0,352078848.0,7.0
222,101,9,473,3,0,32.79724105199178,0.0010469919437778,0.03192318815103087,73.81677383192427,29.78933333333333,288.75,0.0002241383542487889,9.048611897158889e-05,0.0008448350436985223,0.0011594595169189556,2.0,1.0,770.0,2.0,4086886023.0,3.0
26,182,10,62,4,0,30.135663986206055,0.0009634225810947333,0.03196952213375726,73.77759179055957,29.872,288.75,7.626009245520576e-06,3.0910156074868314e-06,2.8798277271381894e-05,3.9515302124390945e-05,2.0,1.0,770.0,2.0,156041600.0,81.0
208,44,11,10,3,2,30.052156845728557,0.0009597694505957,0.03193679082174867,73.8894056270844,29.87866666666667,288.75,1.0119582373802083e-06,4.064277489611293e-07,3.826026556256305e-06,5.244412542597861e-06,2.0,1.0,770.0,2.0,21266960.0,608.0
39,54,7,175,1,2,30.14078704516093,0.0009648414625858,0.03201114815075843,73.88545255343712,30.277000000000005,288.75,2.689954264280435e-05,1.1035062958884058e-05,0.00010143293196668262,0.00013936753756837103,2.0,1.0,770.0,2.0,452142600.0,23.0
86,222,4,315,1,0,44.872336626052856,0.0014626508224717333,0.032587536081221835,74.52272767925605,30.291333333333338,288.75,0.0009338439837412001,0.0003744169169914667,0.0035510441573129,0.004859305058045701,2.0,1.0,770.0,2.0,10394107920.0,1.0
227,160,9,238,5,1,34.510503689448036,0.0011029247869685334,0.0319592967712729,74.0493976766282,30.165000000000003,288.75,0.00011847919756105,4.815441569948889e-05,0.00044406671174973333,0.0006107003250102944,2.0,1.0,770.0,2.0,2102718933.0,6.0
88,169,7,17,4,3,30.120973428090412,0.0009866096812383,0.0327521235857459,74.85068082992296,29.749333333333336,288.75,4.030910172590902e-06,1.6220417958402903e-06,1.5583204173859724e-05,2.1236156142291996e-05,2.0,1.0,770.0,2.0,67769548.0,154.33333333333334
28,184,8,361,4,1,30.11618773142497,0.0009626335271786333,0.031963958981375905,74.12306351626181,29.94033333333333,288.75,3.641534152331373e-05,1.4712391833037254e-05,0.00013699685667269804,0.00018812459002905688,2.0,1.0,770.0,2.0,654998400.0,17.0
26,119,4,204,2,0,30.41789738337199,0.0009730523039364001,0.0319894555233363,74.85003389144815,30.389333333333337,288.75,1.221772306654872e-05,4.878341793001281e-06,4.507185642440257e-05,6.216792128395448e-05,2.0,1.0,770.0,2.0,142741248.0,52.0
84,58,9,367,2,1,31.868856906890873,0.0010186984596939,0.03196532535311577,73.98804519224161,30.421333333333333,288.75,4.360554459428222e-05,1.782343841976e-05,0.00016419636797021555,0.0002256253509842622,2.0,1.0,770.0,2.0,844008984.0,15.0
162,28,9,417,4,0,30.111602067947388,0.0009856593245633333,0.0327308550953313,74.78370240809917,30.048000000000002,288.75,3.6235314052397285e-06,1.4643910464827804e-06,1.4022920017925234e-05,1.9110842469648715e-05,2.0,1.0,770.0,2.0,68398425.0,171.33333333333334
184,189,9,435,3,1,32.67124716440836,0.0010432868302914333,0.03193301364009027,73.95505992711918,29.689000000000004,288.75,0.0006723285908253666,0.0002701950138997667,0.0025235455989009335,0.0034660692036261333,2.0,1.0,770.0,2.0,12062068020.0,1.0
156,58,8,36,1,2,30.492593208948772,0.0009720744171673334,0.031879023601505435,74.25076043986722,30.02333333333333,288.75,2.9775221699344445e-05,1.2011341219736506e-05,0.00011199834724819047,0.0001537849101672762,2.0,1.0,770.0,2.0,543628800.0,21.0
22,109,8,453,4,1,30.210049390792847,0.0010135302994554666,0.0335471926750356,74.95406939291196,30.280333333333335,288.75,1.1960909406681411e-05,4.834622739016026e-06,4.7958512031114106e-05,6.475404417681346e-05,2.0,1.0,770.0,2.0,215584512.0,52.0
177,175,6,120,1,3,39.672640879948936,0.0012934501190975667,0.03260797943168047,48.92552653051691,30.296666666666667,288.75,0.0008052458600294666,0.0003430323850502667,0.0031488982303274665,0.004297176475407266,2.0,1.0,770.0,2.0,11842744320.0,1.0
100,178,11,33,1,3,43.695156256357826,0.0013955292014628,0.03193783533724687,73.7862273249087,30.366333333333333,288.75,0.00029873246734995557,0.0001223495359147111,0.0011243545432057444,0.0015454365464704556,2.0,1.0,770.0,2.0,6044603400.0,3.0
20,216,2,282,2,1,30.922844409942627,0.0009912747392591666,0.03205638573329644,75.13325806554793,30.30366666666667,288.75,2.940343081228636e-05,1.1762857545386364e-05,0.00010852787341508333,0.0001496941617727606,2.0,1.0,770.0,2.0,134017680.0,22.0
132,199,5,66,5,2,30.410151561101276,0.0009745282840925334,0.0320461552147303,75.04676946373365,30.38966666666667,288.75,1.3568346624958863e-05,5.423831884726241e-06,4.9893683092953904e-05,6.888586160264114e-05,2.0,1.0,770.0,2.0,174240000.0,47.0
240,71,11,117,1,1,32.474454402923584,0.0010377866712167,0.03195702230063843,73.98052671011946,30.35166666666667,288.75,0.00033362038847015006,0.00013665316755354998,0.0012536245689209666,0.0017238981249447166,2.0,1.0,770.0,2.0,6742695960.0,2.0
77,87,2,285,2,0,30.563171307245884,0.0009796168873232002,0.0320522575770965,75.11180563980987,30.405666666666665,288.75,1.6458391025200853e-05,6.594381903811111e-06,6.0397000247851284e-05,8.344977317686409e-05,2.0,1.0,770.0,2.0,81152610.0,39.0
229,110,9,486,5,1,32.9437894821167,0.0010528447170796333,0.031958829245967935,74.21378300023775,30.09166666666667,288.75,0.00011328611709486112,4.593155891444444e-05,0.0004237528207125389,0.0005829704967218611,2.0,1.0,770.0,2.0,1987766487.0,6.0
184,69,9,435,2,0,32.702765226364136,0.0010451585264224666,0.0319593572850962,73.99230287948272,30.124333333333336,288.75,0.00016787828076084165,6.851741008996667e-05,0.0006316761749486083,0.000868071865799425,2.0,1.0,770.0,2.0,3115196820.0,4.0
144,70,9,445,2,1,34.86575571695963,0.0011128007681244,0.031916724549874764,74.11488485219893,30.11566666666667,288.75,0.00014319911705919333,5.807752173176666e-05,0.0005381258649461666,0.0007394025037371533,2.0,1.0,770.0,2.0,2657525760.0,5.0
164,31,10,241,5,1,30.12635103861491,0.0009640334123004,0.031999655641238064,74.21374076187703,29.955000000000002,288.75,2.473166093921381e-06,1.0025143624662683e-06,9.284354649704914e-06,1.2760035106093095e-05,2.0,1.0,770.0,2.0,49405000.0,251.0
99,87,4,435,1,2,35.15321787198385,0.0011244660364327333,0.0319875497320409,74.43975095132514,29.987,288.75,0.0002426731538605778,9.741956605308889e-05,0.0009051631343861222,0.0012452558542998223,2.0,1.0,770.0,2.0,2667962880.0,3.0
22,22,6,506,5,1,30.03966784477234,0.0009625172909209001,0.03204154241125423,74.49570127323446,30.271,288.75,2.2525453572766834e-07,9.117844310245811e-08,8.43427867479267e-07,1.1598608463094177e-06,2.0,1.0,770.0,2.0,3206016.0,2757.0
132,170,1,256,2,0,31.576171875,0.0010106934997080666,0.032007995179424834,75.34689957640781,30.072999999999997,288.75,5.530424344860278e-05,2.1858647009738886e-05,0.00020265258565130834,0.0002798154761096583,2.0,1.0,770.0,2.0,122073600.0,12.0
211,173,8,461,2,1,62.21008896827698,0.0019854422525543004,0.03191501998511647,73.66449345120417,29.999,288.75,0.0012772974548926333,0.0005209477058409333,0.0047979085022376335,0.006596153662971266,2.0,1.0,770.0,2.0,21963013632.0,1.0
140,222,9,421,5,2,38.658138593037926,0.0012357514910366666,0.03196544286205024,74.06740323986064,30.276333333333337,288.75,0.0002653666198857,0.0001083135081461889,0.0009948154323630666,0.0013684955603949888,2.0,1.0,770.0,2.0,4621367520.0,3.0
110,76,8,231,4,0,30.472299257914226,0.0009736059861593333,0.03195056320234737,74.61913222532176,30.641000000000002,288.75,1.4607817101832558e-05,5.98884676426279e-06,5.4625926426675194e-05,7.522259029277442e-05,2.0,1.0,770.0,2.0,263450880.0,43.0
79,44,11,139,5,1,30.079074780146282,0.0009621507761106334,0.031987368499934866,73.88281711783334,30.611666666666665,288.75,2.0349150133542774e-06,8.369981329125855e-07,7.666050794352364e-06,1.0537963940619448e-05,2.0,1.0,770.0,2.0,42518432.0,303.3333333333333
78,134,5,48,2,0,30.569134791692097,0.0009761643695698,0.03193296227743007,74.15390896071447,30.583,288.75,1.430917180086212e-05,5.8716406851916665e-06,5.352534649686591e-05,7.370615898292198e-05,2.0,1.0,770.0,2.0,197730000.0,44.0
34,46,10,350,3,1,30.06767479578654,0.0009612272176366334,0.0319687892845591,73.8782410096009,30.53,288.75,4.937631013064267e-06,2.0257383635272e-06,1.8584197869565598e-05,2.554756724615733e-05,2.0,1.0,770.0,2.0,100555000.0,125.0
104,171,9,445,2,1,33.528992096583046,0.0010705544027446333,0.031929172603700665,73.0340150831152,30.284666666666666,288.75,0.0006868915816424,0.00028131777915486666,0.0025884497845338,0.003556659145331166,2.0,1.0,770.0,2.0,12912328260.0,1.0
203,46,7,25,3,3,30.097410758336384,0.000963075512196,0.03199862523263477,74.13409549163941,30.280666666666672,288.75,1.81488848553317e-06,7.391908030500446e-07,6.8380631397738205e-06,9.392142428357329e-06,2.0,1.0,770.0,2.0,31830400.0,340.6666666666667
184,60,8,135,5,2,30.26074194908142,0.0010383550510744334,0.03431359546295937,73.76840389461411,30.522666666666666,288.75,6.346976483472109e-06,2.6010004745520406e-06,2.625288584875612e-05,3.5200862806781636e-05,2.0,1.0,770.0,2.0,114462720.0,98.0
5,182,7,176,1,1,30.773036162058514,0.0009819550365357,0.03190959133438514,73.84956656319713,30.39933333333333,288.75,4.2100075933115556e-05,1.731533899245111e-05,0.00015807185783982,0.00021748727276539332,2.0,1.0,770.0,2.0,683107040.0,15.0
155,75,7,70,2,1,30.293678363164272,0.001014932205132,0.03350473781740773,73.47235620630723,30.52133333333333,288.75,2.0719190887066668e-05,8.519496032813332e-06,8.315690611799445e-05,0.00011239559303787667,2.0,1.0,770.0,2.0,344509200.0,30.0
245,143,10,150,2,3,44.15625007947286,0.0014101677290116667,0.031935878028757865,73.85555431600419,30.393666666666665,288.75,0.00045329428680179995,0.00018544522344003333,0.0017037318004088,0.0023424713106506502,2.0,1.0,770.0,2.0,9003750000.0,2.0
80,123,5,168,3,0,30.720369974772137,0.0009818314942409334,0.03196029216345176,74.85973900425398,30.112,288.75,1.995641728166979e-05,8.039007446212499e-06,7.393890814596875e-05,0.00010193433287385416,2.0,1.0,770.0,2.0,268800000.0,32.0
18,111,8,227,4,2,30.053941408793133,0.0009610410414546333,0.03197720244812507,74.09828075153568,30.317333333333334,288.75,5.237728462777967e-06,2.1450657981562147e-06,1.967506489370904e-05,2.7057859154644352e-05,2.0,1.0,770.0,2.0,95318208.0,118.0
227,46,5,167,2,0,30.29813798268636,0.0010165728215649,0.033553810275685,73.71680315056803,30.045666666666666,288.75,1.5256674777595934e-05,6.156117950836585e-06,6.0960825419602445e-05,8.237361814803901e-05,2.0,1.0,770.0,2.0,208973362.0,41.0
254,208,10,132,1,2,168.6739375591278,0.0053842700240641,0.0319211734899867,73.82515797801199,29.921,288.75,0.003463343547617,0.0014098714205651,0.0130147253111004,0.0178879402792827,2.0,1.0,770.0,3.0,69082767600.0,1.0
173,74,10,332,1,1,31.465917984644577,0.001003796496141,0.031901072200435865,73.66465507256987,30.072000000000003,288.75,0.0006447340459719667,0.00026280487489983335,0.0024273331593307663,0.0033348720802026666,2.0,1.0,770.0,2.0,12891510200.0,1.0
130,24,4,481,2,0,30.20245083173116,0.0010389274406021668,0.03439877837550693,74.20700771772393,30.157,288.75,5.29586515249916e-06,2.129401853896359e-06,2.1579658887744256e-05,2.900492589414062e-05,2.0,1.0,770.0,2.0,60529040.0,119.0
188,142,3,352,2,0,37.222705920537315,0.0011937616957796333,0.03207079096966517,74.7087000481078,30.379333333333335,288.75,0.00019453177652806666,7.8219656735575e-05,0.0007187449918024917,0.0009914964250661584,2.0,1.0,770.0,2.0,1459180800.0,4.0
104,174,5,329,2,1,37.048164208730064,0.0011847928525099334,0.0319799888285966,73.82001975667903,30.23466666666667,288.75,0.00025454492863576664,0.00010383058720468887,0.0009536874437497556,0.0013120629595902331,2.0,1.0,770.0,2.0,3163269200.0,3.0
157,169,7,317,4,1,34.94015804926554,0.0011180175784284666,0.03199813741255161,74.10844131828776,30.314666666666668,288.75,0.00014373552246980001,5.886733875262666e-05,0.0005402659616536466,0.00074286882287608,2.0,1.0,770.0,2.0,2150916642.0,5.0
252,57,5,499,2,0,31.315088669459026,0.0010001523267274667,0.03193831939518387,73.98755054348047,30.375,288.75,9.198373338850951e-05,3.7549868710495245e-05,0.0003451471414830905,0.0004746807435821048,2.0,1.0,770.0,2.0,1145878650.0,7.0
129,120,10,298,1,3,64.01996533075969,0.0020430701746050666,0.03191300394972327,73.38996536735884,30.096333333333334,288.75,0.0013134057841497002,0.0005357034249670332,0.0049384993443886,0.006787608553505367,2.0,1.0,770.0,2.0,26311626900.0,1.0
7,84,11,510,1,2,30.752862215042114,0.0009806939435104333,0.03188953525364276,73.85712010140804,30.029333333333337,288.75,6.298669706523666e-05,2.5557810415296664e-05,0.00023726743388506667,0.00032581194136560994,2.0,1.0,770.0,2.0,1314052740.0,10.0
34,175,5,281,3,1,30.693754355112713,0.0009809264074019666,0.03195848544840283,74.68604433910312,30.268333333333334,288.75,3.1838326827119996e-05,1.2875976724801666e-05,0.00011823028239524834,0.00016294458594717334,2.0,1.0,770.0,2.0,401745700.0,20.0
196,19,6,67,1,1,30.129614273707073,0.0009860767268953666,0.0327250886444998,73.78464520411264,30.286666666666665,288.75,3.996082146703085e-06,1.6355237551491036e-06,1.559310547233015e-05,2.1224711374182985e-05,2.0,1.0,770.0,2.0,60512256.0,154.33333333333334
38,67,5,501,1,2,33.296669721603394,0.0011113725754532666,0.033378666074211895,74.05957582004413,30.25866666666667,288.75,8.532263328119167e-05,3.500301989512917e-05,0.00034120780839067087,0.000461533461567,2.0,1.0,770.0,2.0,1068269775.0,8.0
203,44,9,454,4,0,30.335135857264202,0.0009691778548688667,0.031949310483251364,73.79604842299862,30.108666666666664,288.75,1.5818774914801452e-05,6.455537545762928e-06,5.958782198714045e-05,8.186213444770739e-05,2.0,1.0,770.0,2.0,302337441.0,39.333333333333336
12,16,6,62,3,2,30.03277651468913,0.0009593297809989333,0.031942758559802935,73.62668442280686,30.069666666666667,288.75,2.1570344083435026e-08,8.812481578692823e-09,8.161366658941846e-08,1.1199649225154865e-07,2.0,1.0,770.0,2.0,334800.0,28457.666666666668
30,203,2,139,4,0,30.142502228418987,0.0009911014652469001,0.03287777303605817,76.176233154977,30.587333333333333,288.75,4.466428543695372e-06,1.785099233526604e-06,1.7043294393915247e-05,2.329482217113746e-05,2.0,1.0,770.0,2.0,21692340.0,141.33333333333334
210,151,3,106,2,1,33.05194226900736,0.0010589567117308333,0.032039136546301035,75.18455538147684,30.216333333333335,288.75,7.65792685576037e-05,3.092002175518519e-05,0.0002834038886207074,0.00039090317893349997,2.0,1.0,770.0,2.0,578581920.0,9.0
81,117,9,74,4,2,30.26011037826538,0.0010140621883516334,0.033513634269865804,75.03188237991196,30.489333333333335,288.75,1.0499550635979096e-05,4.335484992225988e-06,4.226627572669322e-05,5.710131135490057e-05,2.0,1.0,770.0,2.0,204158637.0,59.0
171,12,7,430,3,1,30.057030836741134,0.0009626550059437,0.03202760465240993,73.77561323955494,30.611666666666668,288.75,1.0457345985525587e-06,4.3550345278393167e-07,3.951698394275642e-06,5.432936445612302e-06,2.0,1.0,770.0,2.0,16213365.0,588.6666666666666
243,129,8,221,3,3,35.711093743642174,0.0011429574902587331,0.032005652991243395,73.84853233689753,30.542333333333332,288.75,0.000182902373104175,7.535312107640833e-05,0.0006910447468980999,0.0009493002410787167,2.0,1.0,770.0,2.0,3177499104.0,4.0
103,94,10,68,4,0,30.33086697260539,0.0009667978768782666,0.0318750411410281,74.57841231127489,30.217333333333332,288.75,8.287391450894666e-06,3.382949336060889e-06,3.115570027077555e-05,4.282604105773245e-05,2.0,1.0,770.0,2.0,169496800.0,75.0
151,129,11,413,5,2,35.08342695236206,0.0011229325646812667,0.03200750608287603,73.79036960604317,30.536666666666672,288.75,0.00011982838112496666,4.927219479041667e-05,0.0004526782528117778,0.0006217788287271778,2.0,1.0,770.0,2.0,2358100937.0,6.0
189,199,9,163,2,2,31.615155776341755,0.0010099005884883331,0.0319435852602422,73.54064848509894,30.557666666666666,288.75,0.0006471075409263,0.0002684200996171333,0.0024396238162285,0.0033551514567721,2.0,1.0,770.0,2.0,11982752334.0,1.0
86,78,9,502,4,1,30.395649909973145,0.0009711308631117667,0.031949671202595335,73.98015564080954,30.83566666666667,288.75,2.9677627516331748e-05,1.2377194162141269e-05,0.00011158081558015398,0.00015363563725863014,2.0,1.0,770.0,2.0,566502984.0,21.0
81,24,11,124,4,1,30.053371508916218,0.0009599148645416333,0.03194033443231533,73.76487754312349,30.24966666666667,288.75,4.7044165298484847e-07,1.9400493407282913e-07,1.771829905463178e-06,2.4362764925209063e-06,2.0,1.0,770.0,2.0,9722592.0,1309.0
195,134,8,247,1,2,73.52222625414531,0.0023497211291665667,0.03195933529763333,73.41464754399294,30.882000000000005,288.75,0.0015061417413012666,0.0006277923352126,0.0056724484124116665,0.007806382488925667,2.0,1.0,770.0,2.0,26449906080.0,1.0
99,218,4,70,1,2,34.92208560307821,0.0011168635839469666,0.03198155612017133,74.15042623146876,30.60166666666667,288.75,0.00024036893565916668,9.83857816434e-05,0.0008980820312544001,0.0012368367485570111,2.0,1.0,770.0,2.0,2658957840.0,3.0
168,149,4,195,2,0,32.71969358126322,0.0010485189284061666,0.0320455036518036,74.49978577492834,30.70533333333334,288.75,0.00013577530424977333,5.551128979545334e-05,0.00050540372383262,0.0006966903178778801,2.0,1.0,770.0,2.0,1396624320.0,5.0
166,22,3,209,2,1,30.077478647232056,0.0009657798113519668,0.03210976960522387,75.3559080710386,30.647000000000002,288.75,2.0950012638282274e-06,8.492481152519842e-07,7.739140365250076e-06,1.0683389744330509e-05,2.0,1.0,770.0,2.0,18890883.0,300.3333333333333
