,timestamp,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,module,rep_no,macs,batch_size,input_size,forward_passes
11,2022-12-29T08:14:19,46dec317-2658-4b7c-87d6-30bb33d284d8,30.13614010810852,0.0009723472662214,0.0322651561458544,78.81134717103214,30.373,288.75,0.0006609148556759,0.0002528401871277,0.0023166345459719,0.0032303895887756,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,3,183852801,297,619033,269
12,2022-12-29T08:14:54,bce1096d-3670-42d4-90bd-a15e60854447,30.036152362823486,0.0009780116969859,0.0325611511478579,78.85060230534006,30.294,288.75,0.000655923731683,0.0002507990285583,0.0023424855353931,0.0032492082956345,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,1,5726739,3,1908913,10224
13,2022-12-29T08:15:28,0d2687fc-6614-4c48-9b28-24358fc196e6,30.033885717391968,0.0009785012103467,0.0325799072272589,78.31740112846097,29.954,288.75,0.0006557472895974,0.0002513260742076,0.0023437612220644,0.0032508345858695,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,2,5726739,3,1908913,10292
14,2022-12-29T08:16:03,351237b6-71b2-4a0b-adde-4337995d4c2f,30.035258769989014,0.000977667292668,0.0325506532224366,78.52024441125825,30.286,288.75,0.0006554928413382,0.0002509273095217,0.0023416439443826,0.0032480640952427,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,3,5726739,3,1908913,10227
15,2022-12-29T08:16:46,80e1eb45-7e71-4a9d-a980-768abbf8e7d4,30.695184469223022,0.0010545758374999,0.0343563935430104,75.24597838261934,30.588,288.75,0.0006422424371268,0.0002563349001496,0.0026049968736867,0.0035035742109632,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,1,1090467751,389,2803259,15
16,2022-12-29T08:17:29,582c9044-843f-45fb-b77f-115d7c429ce9,30.137659072875977,0.0009648833831483,0.0320158702709828,75.0859891013409,30.239,288.75,0.0006303633551236,0.0002544907897463,0.0023207384901742,0.0032055926350442,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,2,1090467751,389,2803259,14
17,2022-12-29T08:18:12,1747fd42-5382-4a6a-aa94-da879d410302,30.69867849349976,0.0010568488878993,0.0344265271263422,75.3746193666896,30.37,288.75,0.0006430502702731,0.0002585422194492,0.0026095333836972,0.0035111258734196,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,3,1090467751,389,2803259,15
18,2022-12-29T08:18:52,b4cfaacd-6f66-4a3d-9571-da05f779174f,31.11008381843567,0.0009887534034479,0.0317824088555501,74.66655256772202,29.645,288.75,0.0006495250882307,0.0002612408578213,0.0023741290820141,0.0032848950280663,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,1,549044428,251,2187428,28
19,2022-12-29T08:19:31,89167df0-3b9f-44d6-bcfb-00dbd66451fd,30.36449909210205,0.0009763086991443,0.0321529657440744,78.33187022283087,29.965000000000003,288.75,0.0006663579780859,0.0002519888466005,0.0023252036708096,0.0032435504954961,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,2,549044428,251,2187428,89
20,2022-12-29T08:20:09,8f5e0bf6-3ebb-4d99-9313-51e9ec31f018,30.43851089477539,0.0010456102055402,0.034351555802281,75.11869732495536,30.033,288.75,0.0006356902566073,0.0002543253373208,0.0025837724643448,0.0034737880582731,Germany,DEU,,,,Linux-5.4.0-94-generic-x86_64-with-glibc2.31,3.10.8,2,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1,1 x NVIDIA GeForce RTX 2080 Ti,9.491,51.2993,770.0,machine,N,ReLU,3,549044428,251,2187428,27
